Geographic Area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit of Measure
Caribbean,Height-for-age <-2 SD (stunting),Total,2009,11,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2010,11,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2011,11,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2012,10,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2013,10,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2014,10,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2015,9,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2016,9,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2017,9,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2018,8,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2019,8,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2020,8,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1985,36,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1986,35,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1987,35,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1988,34,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1989,33,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1990,32,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1991,31,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1992,30,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1993,29,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1994,28,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1995,28,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1996,27,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1997,26,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1998,25,Percent
Central America,Height-for-age <-2 SD (stunting),Total,1999,24,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2000,24,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2001,23,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2002,22,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2003,22,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2004,21,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2005,20,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2006,20,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2007,19,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2008,18,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2009,18,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2010,17,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2011,17,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2012,16,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2013,16,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2014,15,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2015,14,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2016,14,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2017,13,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2018,13,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2019,13,Percent
Central America,Height-for-age <-2 SD (stunting),Total,2020,12,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1985,57,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1986,56,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1987,55,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1988,54,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1989,54,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1990,53,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1991,52,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1992,51,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1993,50,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1994,50,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1995,49,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1996,48,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1997,47,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1998,46,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,1999,46,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2000,45,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2001,44,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2002,43,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2003,42,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2004,41,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2005,41,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2006,40,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2007,39,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2008,38,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2009,38,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2010,37,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2011,36,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2012,35,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2013,35,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2014,34,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2015,33,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2016,32,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2017,32,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2018,31,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2019,30,Percent
Landlocked developing countries (LLDCs),Height-for-age <-2 SD (stunting),Total,2020,30,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1985,47,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1986,46,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1987,46,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1988,45,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1989,45,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1990,44,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1991,44,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1992,43,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1993,43,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1994,42,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1995,42,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1996,42,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1997,41,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1998,41,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,1999,40,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2000,40,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2001,39,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2002,39,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2003,38,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2004,38,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2005,37,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2006,37,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2007,37,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2008,36,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2009,36,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2010,35,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2011,35,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2012,34,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2013,34,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2014,34,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2015,33,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2016,33,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2017,32,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2018,32,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2019,31,Percent
Middle Africa,Height-for-age <-2 SD (stunting),Total,2020,31,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1985,43,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1986,43,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1987,42,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1988,42,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1989,41,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1990,41,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1991,40,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1992,40,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1993,39,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1994,39,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1995,38,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1996,38,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1997,37,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1998,37,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,1999,36,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2000,36,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2001,36,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2002,35,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2003,35,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2004,34,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2005,34,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2006,33,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2007,33,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2008,32,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2009,32,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2010,32,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2011,31,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2012,31,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2013,30,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2014,30,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2015,29,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2016,29,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2017,29,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2018,28,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2019,28,Percent
Western Africa,Height-for-age <-2 SD (stunting),Total,2020,27,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1985,26,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1986,25,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1987,25,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1988,24,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1989,23,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1990,23,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1991,22,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1992,21,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1993,21,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1994,20,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1995,20,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1996,19,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1997,18,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1998,18,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1999,17,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2000,17,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2001,16,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2002,16,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2003,15,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2004,15,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2005,14,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2006,14,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2007,13,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2008,13,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2009,13,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2010,12,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2011,12,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2012,11,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2013,11,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2014,11,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2015,10,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2016,10,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2017,10,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2018,9,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2019,9,Percent
Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2020,9,Percent
South America,Height-for-age <-2 SD (stunting),Total,1985,22,Percent
South America,Height-for-age <-2 SD (stunting),Total,1986,21,Percent
South America,Height-for-age <-2 SD (stunting),Total,1987,21,Percent
South America,Height-for-age <-2 SD (stunting),Total,1988,20,Percent
South America,Height-for-age <-2 SD (stunting),Total,1989,19,Percent
South America,Height-for-age <-2 SD (stunting),Total,1990,19,Percent
South America,Height-for-age <-2 SD (stunting),Total,1991,18,Percent
South America,Height-for-age <-2 SD (stunting),Total,1992,18,Percent
South America,Height-for-age <-2 SD (stunting),Total,1993,17,Percent
South America,Height-for-age <-2 SD (stunting),Total,1994,17,Percent
South America,Height-for-age <-2 SD (stunting),Total,1995,16,Percent
South America,Height-for-age <-2 SD (stunting),Total,1996,16,Percent
South America,Height-for-age <-2 SD (stunting),Total,1997,15,Percent
South America,Height-for-age <-2 SD (stunting),Total,1998,15,Percent
South America,Height-for-age <-2 SD (stunting),Total,1999,14,Percent
South America,Height-for-age <-2 SD (stunting),Total,2000,14,Percent
South America,Height-for-age <-2 SD (stunting),Total,2001,13,Percent
South America,Height-for-age <-2 SD (stunting),Total,2002,13,Percent
South America,Height-for-age <-2 SD (stunting),Total,2003,12,Percent
South America,Height-for-age <-2 SD (stunting),Total,2004,12,Percent
South America,Height-for-age <-2 SD (stunting),Total,2005,12,Percent
South America,Height-for-age <-2 SD (stunting),Total,2006,11,Percent
South America,Height-for-age <-2 SD (stunting),Total,2007,11,Percent
South America,Height-for-age <-2 SD (stunting),Total,2008,11,Percent
South America,Height-for-age <-2 SD (stunting),Total,2009,10,Percent
South America,Height-for-age <-2 SD (stunting),Total,2010,10,Percent
South America,Height-for-age <-2 SD (stunting),Total,2011,10,Percent
South America,Height-for-age <-2 SD (stunting),Total,2012,9,Percent
South America,Height-for-age <-2 SD (stunting),Total,2013,9,Percent
South America,Height-for-age <-2 SD (stunting),Total,2014,9,Percent
South America,Height-for-age <-2 SD (stunting),Total,2015,8,Percent
South America,Height-for-age <-2 SD (stunting),Total,2016,8,Percent
South America,Height-for-age <-2 SD (stunting),Total,2017,8,Percent
South America,Height-for-age <-2 SD (stunting),Total,2018,8,Percent
South America,Height-for-age <-2 SD (stunting),Total,2019,7,Percent
South America,Height-for-age <-2 SD (stunting),Total,2020,7,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1985,36,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1986,36,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1987,36,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1988,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1989,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1990,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1991,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1992,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1993,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1994,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1995,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1996,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1997,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1998,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1999,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2000,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2001,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2002,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2003,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2004,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2005,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2006,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2007,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2008,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2009,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2010,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2011,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2012,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2013,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2014,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2015,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2016,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2017,29,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2018,29,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2019,29,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2020,29,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1985,48,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1986,48,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1987,47,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1988,47,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1989,46,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1990,46,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1991,45,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1992,45,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1993,44,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1994,44,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1995,43,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1996,43,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1997,42,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1998,42,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,1999,41,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2000,41,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2001,40,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2002,40,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2003,39,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2004,39,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2005,38,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2006,37,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2007,37,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2008,36,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2009,36,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2010,35,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2011,35,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2012,34,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2013,34,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2014,34,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2015,33,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2016,33,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2017,32,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2018,32,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2019,31,Percent
Sub-Saharan Africa,Height-for-age <-2 SD (stunting),Total,2020,31,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1985,46,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1986,44,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1987,42,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1988,40,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1989,38,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1990,36,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1991,34,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1992,32,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1993,30,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1994,28,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1995,27,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1996,25,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1997,23,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1998,22,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,1999,21,Percent
Eastern Asia,Height-for-age <-2 SD (stunting),Total,2000,19,Percent
